protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	1966080	0	io:SirenIOComponent	IOSiren	1	Siren	1
1	1966082	0	io:SomfyIndoorSimpleSirenIOComponent	IOSiren	1	Siren	1
1	3342348	1	io:AtlanticDomesticHotWaterProductionV2IOComponent	DomesticHotWaterProduction	1	WaterHeatingSystem	1
1	3342348	2	io:DHWCumulatedElectricalEnergyConsumptionIOSystemDeviceSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	1
1	3407872	0	io:ElectricalHeaterGenericIOComponent	ElectricalHeater	1	HeatingSystem	1
1	3407884	0	io:AtlanticElectricalHeaterIOComponent	AtlanticElectricalHeater	1	HeatingSystem	1
1	3408128	0	io:ElectricalHeaterWithAdjustableTemperatureSetpointGenericIOComponent	ElectricalHeaterWithAdjustableTemperatureSetpoint	1	HeatingSystem	0
1	3408140	1	io:AtlanticElectricalHeaterWithAdjustableTemperatureSetpointIOComponent	AtlanticElectricalHeaterWithAdjustableTemperatureSetpoint	1	HeatingSystem	0
1	3408140	2	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	0
1	3408140	3	io:ContactIOSystemDeviceSensor	ContactSensor	2	ContactSensor	0
1	3408140	4	io:OccupancyIOSystemDeviceSensor	OccupancySensor	2	OccupancySensor	0
1	3408140	5	io:CumulatedElectricalEnergyConsumptionIOSystemDeviceSensor	CumulativeElectricPowerConsumptionSensor	2	ElectricitySensor	0
1	3473420	1	io:AtlanticHeatRecoveryVentilationIOComponent	AtlanticHeatRecoveryVentilation	1	VentilationSystem	1
1	3473420	2	io:CO2IOSystemDeviceSensor	CO2Sensor	2	AirSensor	1
1	3473420	3	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	1
1	3473420	4	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	1
1	3473420	5	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	1
1	3473420	6	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	1
1	3473420	7	io:TemperatureInCelciusIOSystemDeviceSensor	TemperatureSensor	2	TemperatureSensor	1
1	16711691	0	io:RSOverkizIOComponent	unknown	1	Generic	1
1	4295032832	0	io:LightIOSystemSensor	LuminanceSensor	2	LightSensor	1
1	4295098368	0	io:TemperatureIOSystemSensor	TemperatureSensor	2	TemperatureSensor	1
1	4295163904	0	io:TemperatureIOSystemSensor	TemperatureSensor	2	TemperatureSensor	1
1	4295229440	0	io:WindIOSystemSensor	WindSpeedSensor	2	WindSensor	1
1	4295360512	0	io:SunEnergyIOSystemSensor	SunEnergySensor	2	SunSensor	1
1	4295426048	0	io:RelativeHumidityIOSystemSensor	RelativeHumiditySensor	2	HumiditySensor	1
1	4295491584	0	io:RelativeHumidityIOSystemSensor	RelativeHumiditySensor	2	HumiditySensor	1
1	4295557120	0	io:CO2IOSystemSensor	CO2Sensor	2	AirSensor	1
1	4295622656	0	io:COIOSystemSensor	COSensor	2	AirSensor	1
1	4295688192	0	io:LightIOSystemSensor	LuminanceSensor	2	LightSensor	1
1	4295753728	1	io:GasHeaterConsumptionSensor	GasHeaterConsumptionSensor	2	GasSensor	1
1	4295753728	2	io:GasDHWConsumptionSensor	GasDHWConsumptionSensor	2	GasSensor	1
1	4295819264	0	io:CumulatedWaterConsumptionIOSystemSensor	CumulativeWaterConsumptionSensor	2	WaterSensor	1
1	4295884800	0	io:CumulatedThermalEnergyConsumptionIOSystemSensor	CumulativeThermalEnergyConsumptionSensor	2	ThermalEnergySensor	1
